  1          2                    3           4      5     6    7    8       9           10   11     12       13     14   
Field      J-name                zgal        dra    dd   theta ref  mag    filter       ref  mag    filter    ref   SED
0002-422   J000448.11-415728.8   0.840      -6.4   -3.4   7.10  1   22.60  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
0002+051   J000520.21+052411.80  0.298     -13.4    0.4  13.45  3   19.86  F702W(V)      3   16.37  K_s(V)    8     E/S0 
0002+051   J000520.21+052411.80  0.592      -2.6   -4.8   5.46  3   21.11  F702W(V)      3   17.40  K_s(V)    8     E/S0 
0002+051   J000520.21+052411.80  0.85180    -3.3    0.6   3.40  3   22.21  F702W(V)      3   19.30  K_s(V)    8     Im   
SDSS       J003340.21-005525.53  0.2124     -5.4    3.2   6.28  6   19.44  g(AB)         15  18.79  r(AB)     15    Scd  
SDSS       J003407.34-085452.07  0.3617      6.5   -1.2   6.56  6   22.41  g(AB)         15  21.45  r(AB)     15    Scd  
SDSS       J003413.04-010026.86  0.2564     -2.8    7.1   7.63  6   21.68  g(AB)         15  20.25  r(AB)     15    E/S0 
0058+019   J010054.15+021136.52  0.6128     9999   9999   4.40  8   23.25  R_s(AB)       8   19.90  K_s(V)    8     Sbc  
0058+019   J010054.15+021136.52  0.680      -3.3   -5.5   6.50  2   22.06  F702W(V)      2   18.65  K_s(V)    9     Sbc  
SDSS       J010135.84-005009.08  0.2615     10.2   -7.4  12.60  6   20.91  g(AB)         15  19.57  r(AB)     15    E/S0 
SDSS       J010156.32-084401.74  0.1588     -7.7   -7.0  10.36  6   21.08  g(AB)         15  20.32  r(AB)     15    Sbc  
SDSS       J010352.47+003739.79  0.3515     -9.7    1.0   9.75  6   22.59  g(AB)         15  21.43  r(AB)     15    Sbc  
0102-190   J010516.82-184641.9   1.025      -0.7   -4.9   5.00  1   22.90  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
0109+200   J011210.18+202021.79  0.534       0.8    7.1   7.13  3   22.27  F702W(V)      3   16.70  K_s(V)    8     E/S0 
0117+213   J012017.20+213346.00  0.5763     9999   9999   1.20  8   20.65  R_s(AB)       8   16.60  K_s(V)    8     E/S0 
0117+213   J012017.20+213346.00  0.729      -6.8   -3.6   7.68  3   21.06  F702W(V)      3   16.80  K_s(V)    8     E/S0 
0122-003   J012528.84-000555.93  0.3788     -8.7  -12.3  15.07  5   20.60  F702W(AB)     5   17.94  K'(V)     14    Im   
0122-003   J012528.84-000555.93  0.398525  -17.5   24.5  30.16  18  19.70  F702W(AB)     18  19.69  r(AB)     15    Scd
0141+339   J014411.70+341157.92  0.4708     9999   9999   6.50  8   22.86  R_s(AB)       8   20.10  K_s(V)    8     Scd  
0150-202   J015227.32-200107.10  0.603       5.1   -6.4   8.10  2   20.29  F702W(V)      2   17.40  K_s(V)    9     Scd  
0150-202   J015227.32-200107.10  0.780      9999   9999   7.40  8   22.32  R_s(AB)       8   18.90  K_s(V)    8     Scd  
SDSS       J015453.03-095535.39  0.5663     -8.7    1.8   8.71  12  22.50  g(AB)         15  21.00  r(AB)     15    Sbc  
SDSS       J021558.40-011135.79  0.2103      6.6    4.6   8.04  6   20.13  g(AB)         15  19.43  r(AB)     15    Scd  
SDSS       J022950.32-074256.77  0.3866     -5.2    0.9   5.25  6   22.08  g(AB)         15  21.03  r(AB)     15    Scd  
0229+131   J023145.89+132254.71  0.4167     -5.5    4.0   6.74  3   19.72  F702W(V)      3   16.45  K_s(V)    8     E/S0 
0235+164   J023838.93+163659.27  0.524       0.2   -1.9   1.95  3   20.31  F702W(V)      3   17.30  K_s(V)    8     Sbc  
0235+164   J023838.93+163659.27  0.852      9999   9999   1.00  8   21.93  R_s(AB)       8   17.80  K_s(V)    8     Sbc  
0302-223   J030450.10-221157.00  0.418     -18.0  -15.0  23.00  1   18.40  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
0302-223   J030450.10-221157.00  1.000      -2.6   -7.2   7.70  1   23.10  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
SDSS       J032232.58+003649.13  0.2185     -0.4   -4.5   4.52  6   22.48  g(AB)         15  21.51  r(AB)     15    Sbc  
0334-204   J033626.90-201940.00  1.120       2.9   -7.3   7.90  1   22.60  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
0349-146   J035128.54-142908.71  0.3567     -9.9   10.4  14.35  3   20.44  F702W(V)      3   18.54  K'(V)     14    Im   
SDSS       J035242.12+001307.32  0.3671     -1.9    9.8   9.98  6   22.54  g(AB)         15  20.99  r(AB)     15    E/S0 
0454-220   J045608.92-215909.40  0.2784     10.6    5.6  11.99  2   21.18  F702W(V)      2   19.14  K'(V)     14    Im   
0454-220   J045608.92-215909.40  0.3818      0.2  -19.8  19.79  2   20.41  F702W(V)      2   17.24  K'(V)     14    Sbc  
0454-220   J045608.92-215909.40  0.48382    -1.2  -17.9  17.98  3   20.09  F702W(V)      3   16.94  K'(V)     14    Sbc  
0454+039   J045647.17+040052.94  0.072       3.8    1.4   4.00  1   20.50  R_{EFOSC}(V)  1    9999  9999      9999  (Sbc)
0454+039   J045647.17+040052.94  0.201       2.1  -26.8  26.60  2   18.42  F702W(V)      2   15.24  K_s(V)    9     E/S0 
0454+039   J045647.17+040052.94  0.8596     9999   9999   2.10  8   24.60  R_s(AB)       8    9999  9999      9999  (Sbc)
SDSS       J075001.85+161305.05  0.1466     -7.3   -3.1   7.66  6   21.30  g(AB)         15  20.75  r(AB)     15    Scd  
