  1          2                    3         4          5        6     7       8    9     10     11     12     13     14     15     16    17
Field      J-name                zgal      zabs      EWMgII   sigEW  DR     sigDR ref    D    kcorr    MB     LB   kcorr    MK     LK   B-K
0002-422   J000448.11-415728.8   0.840     0.836627  4.422    0.002  1.120  0.09   14   53.8  -0.08  -21.04  0.66   9999    9999  9999  9999
0002+051   J000520.21+052411.80  0.298     0.298059  0.244    0.003  1.336  0.029  3    59.2  -1.39  -19.78  0.38  -0.52  -22.22  0.64  2.43
0002+051   J000520.21+052411.80  0.592     0.591365  0.102    0.002  1.539  0.039  3    36.0  -0.80  -20.88  0.76  -0.53  -22.94  1.08  2.05
0002+051   J000520.21+052411.80  0.85180   0.851393  1.089    0.008  1.160  0.013  3    25.9  -0.64  -20.91  0.58  -0.88  -21.65  0.29  0.74
SDSS       J003340.21-005525.53  0.2124    0.2121    1.05     0.03   9999   9999   6    21.7   0.20  -20.87  1.15   0.06  -21.83  0.47  0.96
SDSS       J003407.34-085452.07  0.3617    0.3616    0.48     0.05   9999   9999   6    33.1   0.54  -19.57  0.29   0.13  -20.59  0.14  1.02
SDSS       J003413.04-010026.86  0.2564    0.2564    0.61     0.06   9999   9999   6    30.4   0.80  -19.68  0.37   0.43  -21.68  0.40  1.99
0058+019   J010054.15+021136.52  0.6128    0.612586  1.684    0.004  1.060  0.09   14   29.5  -0.40  -19.14  0.15  -0.59  -20.47  0.11  1.32
0058+019   J010054.15+021136.52  0.680     0.680     0.0034  -1.0    9999   9999   2    45.6  -0.34  -20.76  0.61  -0.63  -21.96  0.42  1.20
SDSS       J010135.84-005009.08  0.2615    0.2615    0.11    -1.0    9999   9999   6    50.9   0.82  -20.53  0.80   0.44  -22.34  0.74  1.81
SDSS       J010156.32-084401.74  0.1588    0.1586    0.36     0.03   9999   9999   6    28.4   0.11  -18.44  0.13   0.14  -19.93  0.08  1.49
SDSS       J010352.47+003739.79  0.3515    0.3508    0.38     0.03   9999   9999   6    48.3   0.71  -19.48  0.27   0.27  -20.85  0.17  1.37
0102-190   J010516.82-184641.9   1.025     1.0262    0.67     0.05   0.971  0.100  1    40.0   0.28  -21.64  0.93   9999    9999  9999  9999
0109+200   J011210.18+202021.79  0.534     0.5346    2.26     0.05   1.322  0.09   3    44.7  -0.95  -19.30  0.19  -0.51  -23.39  1.68  4.09
0117+213   J012017.20+213346.00  0.5763    0.576398  0.902    0.007  1.070  0.010  14    7.8  -0.40  -21.58  1.47  -0.52  -23.68  2.14  2.09
0117+213   J012017.20+213346.00  0.729     0.729077  0.244    0.005  1.839  0.088  3    55.4  -0.38  -21.90  1.67  -0.59  -24.03  2.79  2.12
0122-003   J012528.84-000555.93  0.3788    0.3791    0.05     0.01   9999   9999   5    77.7  -0.52  -20.43  0.64  -0.58  -21.20  0.24  0.76
0122-003   J012528.87-000555.93  0.3985252 0.3994105 0.399    0.01   1.352  0.056  15  163.0  -0.61  -21.32  1.41   9999    9999  9999  1.80
0141+339   J014411.70+341157.92  0.4708    0.4708    0.78     0.07   1.200  0.170  8    38.1  -0.57  -18.67  0.11  -0.57  -19.60  0.05  0.92
