  1          2                     3           4       5       6     7     8        9            10    11       12       13      14     
Field      J-name                 zgal        dra     ddec   theta  ref   mag     filter        ref   mag     filter    ref     SED
SDSS       J003340.21-005525.53   0.1760      -8.2     7.2   10.91   6    20.98   g(AB)          14   19.72   r(AB)      14     E/S0 
SDSS       J003340.21-005525.53   0.1758      18.9     2.7   19.09   6    21.01   g(AB)          14   20.61   r(AB)      14     Im   
SDSS       J005244.23-005721.7    0.13429     -4.7    12.6   13.42   10   16.84   r(AB)          14   13.53   K_s(V)     15     E/S0 
SDSS       J005244.23-005721.7    0.13465     -3.1    35.4   35.55   10   19.52   g(AB)          14   19.52   r(AB)      14     Scd  
0150-202   J015227.32-200107.10   0.38260      8.5    -7.8   11.47   3    21.15   F702W(V)       3    9999    9999       9999   (Sbc)
0150-202   J015227.32-200107.10   0.38024     -0.3    16.1   16.10   19   22.81   F702W(V)       25   9999    9999       9999   (Sbc)
0150-202   J015227.32-200107.10   0.38146     -7.8    15.9   17.51   19   22.63   F702W(V)       25   9999    9999       9999   (Sbc)
0150-202   J015227.32-200107.10   0.38140     -4.8   -27.3   27.67   19   21.66   F702W(V)       25   9999    9999       9999   (Sbc)
0150-202   J015227.32-200107.10   0.38135     14.7   -28.1   31.31   19   20.91   F702W(V)       25   9999    9999       9999   (Sbc)
0151+045   J015427.99+044818.69   0.160       -6.2    -1.7    6.40   1    19.10   R_{EFOSC}(V)   1    9999    9999       9999   (Sbc)
0151+045   J015427.99+044818.69   0.160       -3.0    10.5   10.90   1    20.20   R_{EFOSC}(V)   1    9999    9999       9999   (Sbc)
0226-4110  J022815.17-405714.3    0.2065      -9.1    -8.4   10.87   21   21.94   R_J(AB)        21   21.20   I_J(AB)    21     E/S0 
0226-4110  J022815.17-405714.3    0.2078     -24.9   -25.9   32.04   21   20.29   R_J(AB)        21   19.38   I_J(AB)    21     E/S0 
0226-4110  J022815.17-405714.3    0.2678      16.9   -13.0   18.21   21   20.18   R_J(AB)        21   19.32   I_J(AB)    21     E/S0 
0226-4110  J022815.17-405714.3    0.2690       8.5   -36.7   37.25   21   22.85   R_J(AB)        21   22.16   I_J(AB)    21     E/S0 
0226-4110  J022815.17-405714.3    0.2680      36.2   -29.2   39.98   21   21.61   R_J(AB)        21   20.96   I_J(AB)    21     Sbc  
0349-146   J035128.54-142908.71   0.324180    13.0   -23.5   26.72   22   20.00   F702W(AB)      22   18.40   K_s(AB)    22     E/S0 
0349-146   J035128.54-142908.71   0.324651   -29.0    18.5   34.44   22   19.50   F702W(AB)      22   18.10   K_s(AB)    22     Sbc  
0405-123   J040748.43-121136.65   0.16699     -1.1    34.8   34.81   22   21.04   R_J(AB)        23   21.00   K_s(AB)    22     Im   
0405-123   J040748.43-121136.65   0.16699     41.3    -1.8   40.36   22   17.43   R_J(AB)        23   16.60   K_s(AB)    22     Im   
0450-131   J045313.48-130555.84   0.4941       5.8    -5.9    8.26   3    21.55   F702W(V)       3    17.64   K_s(V)     7      E/S0 
0450-131   J045313.48-130555.84   0.4931       6.4    -8.1   10.34   3    21.52   F702W(V)       3    17.64   K_s(V)     7      E/S0 
0515-4414  J051707.61-441056.2    0.2835      11.6    -7.2   10.96   17   22.74   R_J(AB)        17   9999    9999       9999   (Sbc)
0515-4414  J051707.61-441056.2    0.2821      12.6    17.6   19.82   17   20.82   R_J(AB)        17   9999    9999       9999   (Sbc)
0515-4414  J051707.61-441056.2    0.2825     -25.2    -8.5   19.93   17   19.07   R_J(AB)        17   9999    9999       9999   (Sbc)
0515-4414  J051707.61-441056.2    0.2823      32.2    -4.5   23.52   17   18.73   R_J(AB)        17   9999    9999       9999   (Sbc)
0515-4414  J051707.61-441056.2    0.2826     -40.7    -7.7   30.16   17   18.72   R_J(AB)        17   9999    9999       9999   (Sbc)
SDSS       J074528.15+191952.68   0.4582     -15.0     7.5   16.02   6    20.92   g(AB)          14   19.81   r(AB)      14     Scd  
SDSS       J074528.15+191952.68   0.4582     -13.2    11.2   16.75   6    21.13   g(AB)          14   20.33   r(AB)      14     Im   
SDSS       J083220.74+043416.78   0.171224    12.9   -17.0   21.32   6    19.95   g(AB)          14   19.55   r(AB)      14     Im   
SDSS       J083220.74+043416.78   0.1678     -29.5   -30.2   42.15   6    18.81   g(AB)          14   17.71   r(AB)      14     E/S0 
SDSS       J083220.74+043416.78   0.168222   -32.7   -39.0   50.83   6    19.12   g(AB)          14   18.19   r(AB)      14     Sbc  
SDSS       J092554.71+400414.17   0.2475      -8.0   -20.8   21.64   20   20.28   g(AB)          14   18.63   r(AB)      14     E/S0 
SDSS       J092554.71+400414.17   0.2467      -7.2   -24.1   24.69   20   20.31   g(AB)          14   19.55   r(AB)      14     Sbc  
SDSS       J092837.98+602521.02   0.1537      -3.5   -14.7   14.82   20   20.64   g(AB)          14   20.05   r(AB)      14     Scd  
SDSS       J092837.98+602521.02   0.1542      30.2   -12.1   19.19   20   19.57   g(AB)          14   18.99   r(AB)      14     Scd  
SDSS       J092837.98+602521.02   0.1540      67.2   -12.3   35.38   20   19.47   g(AB)          14   18.40   r(AB)      14     E/S0 
SDSS       J100902.06+071343.87   0.35585      3.2    0.03    3.13   20   24.10   F390W(AB)      24   23.21   F625W(AB)  24     Im   
SDSS       J100902.06+071343.87   0.35587      1.7    -9.3    9.41   20   21.65   g(AB)          14   20.96   r(AB)      14     Im   
1038+064   J104117.16+061016.92   0.306088    14.1    15.4   20.70   2    18.48   F702W(V)       2    15.30   K_s(V)     8      E/S0 
1038+064   J104117.16+061016.92   0.304858    10.7    25.5   27.61   2    20.87   F702W(V)       2    9999    9999       9999   (Sbc)
1127-145   J113007.05-144927.38   0.31207     -3.9     0.5    3.85   9    21.55   F814W(V)       9    9999    9999       9999   (Sbc)
1127-145   J113007.05-144927.38   0.3132       9.3     3.8   10.01   9    18.81   F814W(V)       9    16.15   K_s(V)     7      E/S0 
1127-145   J113007.05-144927.38   0.3124       7.8    16.0   17.77   9    18.64   F814W(V)       9    9999    9999       9999   (Sbc)
1127-145   J113007.05-144927.38   0.31139     21.7    -1.2   21.76   9    19.79   F814W(V)       9    9999    9999       9999   (Sbc)
1127-145   J113007.05-144927.38   0.32839     14.7    -6.9   16.23   3    20.19   F814W(V)       3    9999    9999       9999   (Sbc)
1127-145   J113007.05-144927.38   0.32847      0.7    19.3   19.29   3    18.89   F814W(V)       3    9999    9999       9999   (Sbc)
SDSS       J113327.78+032719.17   0.2367       4.5    -1.7    4.79   20   19.84   g(AB)          14   18.62   r(AB)      14     E/S0 
SDSS       J113327.78+032719.17   0.2364      -4.1    -9.6   10.39   20   20.16   g(AB)          14   19.01   r(AB)      14     Sbc  
SDSS       J114830.12+021829.78   0.3206      12.3   -21.9   25.11   6    21.45   g(AB)          14   19.89   r(AB)      14     E/S0 
SDSS       J114830.12+021829.78   0.3206      13.4   -26.9   30.05   6    21.28   g(AB)          14   19.73   r(AB)      14     E/S0 
SDSS       J121347.52+000129.99   0.2259      -5.7     6.6    8.72   6    20.59   g(AB)          14   19.20   r(AB)      14     E/S0 
SDSS       J121347.52+000129.99   0.2258      -6.4    11.3   12.99   6    21.06   g(AB)          14   20.29   r(AB)      14     Scd  
SDSS       J132831.08+075942.01   0.2537       1.0   -18.1   18.13   6    21.74   g(AB)          14   20.47   r(AB)      14     E/S0 
SDSS       J132831.08+075942.01   0.2537      -6.8    23.2   24.16   6    20.38   g(AB)          14   19.06   r(AB)      14     E/S0 
