1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17    
Field,J-name,zgal,zabs,EWMgII,sigEW,DR,sigDR,ref,D,kcorrB,MB,LB,kcorrK,MK,LK,B-K
SDSS,J003340.21-005525.53,0.176,0.1759,0.19,0.04,9999,9999,6,32.3,0.4,-19.07,0.23,0.31,-21.26,0.29,2.18
SDSS,J003340.21-005525.53,0.1758,0.1759,0.19,0.04,9999,9999,6,56.4,0.02,-18.66,0.16,-0.05,-19.27,0.04,0.61
SDSS,J005244.23-005721.7,0.13429,0.1346,1.46,0.04,1.19,0.05,10,31.7,-0.94,-21.22,1.74,-0.26,-23.39,2.14,2.16
SDSS,J005244.23-005721.7,0.13465,0.1346,1.46,0.04,1.19,0.05,10,84.3,0.03,-19.01,0.23,0.05,-19.99,0.09,0.97
0150-202,J015227.32-200107.10,0.3826,0.383074,0.168,0.015,1.17,0.17,14,59.6,-1.02,-19.49,0.27,9999,9999,9999,9999
0150-202,J015227.32-200107.10,0.38024,0.383074,0.168,0.015,1.17,0.17,14,83.8,-1.02,-17.81,0.06,9999,9999,9999,9999
0150-202,J015227.32-200107.10,0.38146,0.383074,0.168,0.015,1.17,0.17,14,91.4,-1.02,-18,0.07,9999,9999,9999,9999
0150-202,J015227.32-200107.10,0.3814,0.383074,0.168,0.015,1.17,0.17,14,144.4,-1.02,-18.97,0.17,9999,9999,9999,9999
0150-202,J015227.32-200107.10,0.38135,0.383074,0.168,0.015,1.17,0.17,14,163.3,-1.02,-19.72,0.33,9999,9999,9999,9999
0151+045,J015427.99+044818.69,0.16,0.1602,1.55,0.05,1,0.09,1,17.5,-0.99,-19.42,0.32,9999,9999,9999,9999
0151+045,J015427.99+044818.69,0.16,0.1602,1.55,0.05,1,0.09,1,29.8,-0.99,-18.32,0.12,9999,9999,9999,9999
0226-4110,J022815.17-405714.3,0.2065,0.2067,0.02,1,9999,9999,5,33.6,-1.13,-16.96,0.03,0.52,-19.36,0.05,2.4
